api,nranks,xfersize[MiB],blocksize[MiB],totalsize[MiB],operation,min[MiB/sec],max[MiB/sec],mean[MiB/sec],std[MiB/sec]
NCMPI,1,8.0,64.0,64.0,read,497.96,2041.87,1396.15,67.61
HDF5,8,128.0,512.0,4096.0,write,1237.1,8654.74,7138.27,15.89
HDF5,8,128.0,512.0,4096.0,read,5965.61,8933.82,8006.0,6.49
NCMPI,4,16.0,32.0,128.0,write,288.23,1667.96,872.9,28.45
NCMPI,4,16.0,32.0,128.0,read,1165.49,8047.55,5886.32,127.77
MPIIO,2,16.0,32.0,64.0,write,3636.26,4566.35,4191.07,14.77
MPIIO,2,16.0,32.0,64.0,read,912.3,1848.06,1332.14,15.63
NCMPI,8,32.0,256.0,2048.0,write,1929.02,7166.44,4443.67,51.97
NCMPI,8,32.0,256.0,2048.0,read,7613.82,17227.24,12732.78,91.86
POSIX,64,128.0,1024.0,65536.0,write,62819.72,130544.91,99957.44,168.96
POSIX,64,128.0,1024.0,65536.0,read,118818.09,131083.66,127207.91,27.9
POSIX,4,16.0,64.0,256.0,write,1212.87,4057.47,2922.33,65.76
POSIX,4,16.0,64.0,256.0,read,3481.77,11836.54,8046.04,198.52
POSIX,16,64.0,256.0,4096.0,write,2262.82,30848.22,21757.04,161.46
POSIX,16,64.0,256.0,4096.0,read,29339.51,40745.35,35120.31,52.47
Z5,64,256.0,512.0,32768.0,write,24062.03,31396.0,27958.48,8.23
Z5,64,256.0,512.0,32768.0,read,4911.34,5551.23,5371.61,0.67
NCMPI,32,64.0,128.0,4096.0,write,2256.65,3987.8,3097.98,8.31
NCMPI,32,64.0,128.0,4096.0,read,8822.64,27122.64,17210.49,88.75
MPIIO,8,128.0,1024.0,8192.0,write,20475.29,24782.99,24151.69,9.67
MPIIO,8,128.0,1024.0,8192.0,read,9544.46,11019.7,10678.26,3.1
Z5,4,64.0,512.0,2048.0,write,1945.56,2156.97,2125.87,0.94
Z5,4,64.0,512.0,2048.0,read,315.69,347.38,341.79,0.14
NCMPI,16,64.0,64.0,1024.0,write,1465.15,3385.87,2284.46,9.1
NCMPI,16,64.0,64.0,1024.0,read,3363.22,10562.09,6239.5,36.53
HDF5,2,64.0,512.0,1024.0,write,1185.18,2943.12,2630.29,7.77
HDF5,2,64.0,512.0,1024.0,read,2191.8,2623.73,2534.01,1.91
HDF5,4,256.0,256.0,1024.0,write,1192.9,4173.55,3406.73,3.19
HDF5,4,256.0,256.0,1024.0,read,2949.92,4080.34,3601.11,1.48
NCMPI,2,8.0,8.0,16.0,write,64.66,300.62,204.62,7.69
NCMPI,2,8.0,8.0,16.0,read,580.43,3503.77,2517.13,101.67
HDF5,1,64.0,256.0,256.0,write,2024.5,2137.91,2089.44,0.51
HDF5,1,64.0,256.0,256.0,read,277.46,292.68,291.09,0.07
MPIIO,8,16.0,16.0,128.0,write,8801.91,10183.5,9789.59,24.81
MPIIO,8,16.0,16.0,128.0,read,1069.88,4141.35,2720.92,49.88
Z5,2,128.0,256.0,512.0,write,812.6,1123.08,1060.37,0.79
Z5,2,128.0,256.0,512.0,read,177.03,179.68,178.8,0.01
POSIX,1,128.0,128.0,128.0,write,287.19,1783.16,1357.59,3.31
POSIX,1,128.0,128.0,128.0,read,3741.8,3760.1,3753.5,0.04
NCMPI,32,256.0,256.0,8192.0,write,2038.17,6631.95,3735.51,5.34
NCMPI,32,256.0,256.0,8192.0,read,13986.59,27065.3,19589.9,15.38
HDF5,8,8.0,32.0,256.0,write,787.79,2319.0,1804.86,65.54
HDF5,8,8.0,32.0,256.0,read,2290.06,6894.35,4487.62,204.01
POSIX,1,32.0,32.0,32.0,write,163.37,789.29,495.94,6.71
POSIX,1,32.0,32.0,32.0,read,4002.72,4183.01,4117.26,1.68
MPIIO,16,16.0,16.0,256.0,write,14742.51,22176.15,19401.52,118.41
MPIIO,16,16.0,16.0,256.0,read,1365.08,3986.27,2868.03,41.54
HDF5,64,32.0,32.0,2048.0,write,935.44,3543.4,2706.42,20.89
HDF5,64,32.0,32.0,2048.0,read,9393.4,15526.76,11933.0,56.76
MPIIO,2,256.0,256.0,512.0,write,6781.66,7186.16,7076.57,0.42
MPIIO,2,256.0,256.0,512.0,read,2294.52,2985.16,2848.46,0.87
MPIIO,32,16.0,32.0,1024.0,write,35054.13,53211.2,45047.05,364.3
MPIIO,32,16.0,32.0,1024.0,read,4776.04,20401.59,14894.59,291.41
POSIX,32,32.0,256.0,8192.0,write,15683.48,39284.79,34894.26,209.32
POSIX,32,32.0,256.0,8192.0,read,45466.84,64337.64,50740.5,171.0
HDF5,8,8.0,64.0,512.0,write,1147.14,3966.59,3060.35,96.34
HDF5,8,8.0,64.0,512.0,read,3724.19,8185.39,5866.21,190.93
MPIIO,1,128.0,256.0,256.0,write,2803.37,3176.01,3095.73,0.82
MPIIO,1,128.0,256.0,256.0,read,2838.83,3749.87,3655.82,2.13
MPIIO,16,256.0,512.0,8192.0,write,17102.91,47809.85,41576.5,35.29
MPIIO,16,256.0,512.0,8192.0,read,14680.02,21606.03,19807.19,9.75
POSIX,8,64.0,64.0,512.0,write,1804.02,8043.0,5874.61,29.88
POSIX,8,64.0,64.0,512.0,read,8520.65,15347.68,11860.51,40.25
Z5,1,256.0,256.0,256.0,write,399.14,567.85,550.21,0.2
Z5,1,256.0,256.0,256.0,read,87.3,90.9,90.46,0.0
NCMPI,8,128.0,512.0,4096.0,write,3251.92,10410.16,7456.42,19.85
NCMPI,8,128.0,512.0,4096.0,read,10876.87,17695.42,14317.91,17.22
POSIX,2,256.0,512.0,1024.0,write,3368.72,5812.94,4957.82,2.99
POSIX,2,256.0,512.0,1024.0,read,6111.48,6779.4,6544.86,0.77
POSIX,1,8.0,16.0,16.0,write,277.72,775.14,649.48,19.05
POSIX,1,8.0,16.0,16.0,read,9083.64,11270.79,10637.5,81.98
Z5,1,16.0,32.0,32.0,write,144.2,584.38,511.79,8.61
Z5,1,16.0,32.0,32.0,read,88.75,92.12,91.6,0.06
HDF5,8,32.0,128.0,1024.0,write,1032.98,5419.27,4329.05,40.29
HDF5,8,32.0,128.0,1024.0,read,4609.99,7750.55,5988.25,35.05
POSIX,64,32.0,128.0,8192.0,write,17329.44,46998.67,35700.52,325.61
POSIX,64,32.0,128.0,8192.0,read,45420.17,58609.54,52258.37,127.34
NCMPI,16,128.0,1024.0,16384.0,write,6732.49,27966.71,13423.16,42.84
NCMPI,16,128.0,1024.0,16384.0,read,18483.23,40582.9,31736.42,53.27
Z5,2,8.0,16.0,32.0,write,481.71,681.89,634.49,6.89
Z5,2,8.0,16.0,32.0,read,152.43,172.58,168.15,0.68
NCMPI,64,256.0,2048.0,131072.0,write,16003.91,33672.85,25763.07,24.77
NCMPI,64,256.0,2048.0,131072.0,read,50100.63,64869.86,57416.93,18.28
MPIIO,8,32.0,128.0,1024.0,write,5012.42,21272.76,18929.06,147.75
MPIIO,8,32.0,128.0,1024.0,read,2474.37,10829.98,7940.4,81.24
MPIIO,1,8.0,32.0,32.0,write,3216.4,3338.41,3287.25,4.53
MPIIO,1,8.0,32.0,32.0,read,489.95,1137.21,818.98,28.79
HDF5,32,16.0,128.0,4096.0,write,1116.21,9258.87,7737.28,142.65
HDF5,32,16.0,128.0,4096.0,read,9716.81,17846.37,14544.08,130.25
NCMPI,1,16.0,32.0,32.0,write,286.78,1015.49,745.57,13.74
NCMPI,1,16.0,32.0,32.0,read,426.46,1333.5,831.23,15.35
MPIIO,64,128.0,256.0,16384.0,write,53751.76,155135.26,126050.4,214.14
MPIIO,64,128.0,256.0,16384.0,read,30731.75,76492.48,64804.71,116.91
NCMPI,2,128.0,256.0,512.0,write,2130.07,2670.91,2437.63,1.24
NCMPI,2,128.0,256.0,512.0,read,3646.72,7072.56,5282.44,9.04
POSIX,8,256.0,1024.0,8192.0,write,13340.58,21394.74,17918.46,12.07
POSIX,8,256.0,1024.0,8192.0,read,25105.1,25951.77,25585.64,1.14
POSIX,2,16.0,128.0,256.0,write,802.24,6887.49,3793.96,121.85
POSIX,2,16.0,128.0,256.0,read,3373.87,9861.43,6526.85,143.39
HDF5,64,16.0,64.0,4096.0,write,1038.22,6456.83,5205.74,104.99
HDF5,64,16.0,64.0,4096.0,read,11290.45,18377.13,15759.27,147.71
MPIIO,16,32.0,128.0,2048.0,write,33588.81,41673.6,39512.84,74.38
MPIIO,16,32.0,128.0,2048.0,read,9864.27,21382.48,16618.28,119.05
POSIX,1,16.0,64.0,64.0,write,294.98,1619.18,1173.67,25.62
POSIX,1,16.0,64.0,64.0,read,5224.0,5323.23,5292.27,1.85
Z5,16,64.0,64.0,1024.0,write,1547.99,7263.53,5441.48,36.07
Z5,16,64.0,64.0,1024.0,read,875.39,1381.63,1155.35,2.24
Z5,32,64.0,128.0,4096.0,write,8788.14,12507.53,10067.79,14.52
Z5,32,64.0,128.0,4096.0,read,2270.69,2766.79,2617.06,2.83
MPIIO,32,256.0,1024.0,32768.0,write,75909.94,97840.98,94648.8,24.53
MPIIO,32,256.0,1024.0,32768.0,read,41396.35,43759.79,43075.98,2.46
HDF5,4,8.0,16.0,64.0,write,428.87,1180.21,749.77,26.91
HDF5,4,8.0,16.0,64.0,read,1596.45,3070.47,2602.75,64.84
Z5,8,128.0,512.0,4096.0,write,3821.78,4335.01,4204.67,1.36
Z5,8,128.0,512.0,4096.0,read,688.2,709.32,702.37,0.05
NCMPI,1,256.0,256.0,256.0,write,659.59,2542.75,2078.19,1.95
NCMPI,1,256.0,256.0,256.0,read,1306.53,3725.85,2720.14,3.68
MPIIO,1,8.0,64.0,64.0,write,3258.34,3367.1,3336.82,3.68
MPIIO,1,8.0,64.0,64.0,read,761.26,2587.16,1440.39,60.83
MPIIO,2,64.0,512.0,1024.0,write,7089.16,7432.72,7280.56,1.81
MPIIO,2,64.0,512.0,1024.0,read,1985.5,2963.12,2827.15,4.45
POSIX,64,16.0,16.0,1024.0,write,2576.6,10622.48,5835.46,141.11
POSIX,64,16.0,16.0,1024.0,read,6874.47,18201.5,8745.66,199.39
MPIIO,1,64.0,256.0,256.0,write,2412.3,3132.56,3032.02,3.25
MPIIO,1,64.0,256.0,256.0,read,1321.35,3759.28,3316.17,11.44
HDF5,8,16.0,16.0,128.0,write,354.21,1853.37,1250.23,32.5
HDF5,8,16.0,16.0,128.0,read,1449.72,4656.14,3482.14,71.64
NCMPI,4,64.0,512.0,2048.0,write,3145.51,9038.31,5581.7,24.21
NCMPI,4,64.0,512.0,2048.0,read,2080.6,11024.09,8516.54,50.1
NCMPI,16,128.0,256.0,4096.0,write,2719.2,8348.23,5156.03,13.74
NCMPI,16,128.0,256.0,4096.0,read,13668.76,24279.38,17899.56,22.62
POSIX,32,32.0,32.0,1024.0,write,2765.63,12113.63,9049.35,102.25
POSIX,32,32.0,32.0,1024.0,read,4340.7,13714.22,10311.6,77.84
POSIX,16,32.0,64.0,1024.0,write,2536.71,10580.39,7349.07,86.41
POSIX,16,32.0,64.0,1024.0,read,9589.42,18214.35,14087.43,86.0
POSIX,8,64.0,512.0,4096.0,write,13506.0,20785.13,17044.25,35.71
POSIX,8,64.0,512.0,4096.0,read,19424.62,23904.23,22248.81,18.25
POSIX,2,256.0,2048.0,4096.0,write,4137.62,7332.7,6597.76,4.35
POSIX,2,256.0,2048.0,4096.0,read,7507.99,7577.71,7553.93,0.07
MPIIO,16,256.0,2048.0,32768.0,write,48992.65,50247.06,49738.58,1.36
MPIIO,16,256.0,2048.0,32768.0,read,21542.04,22519.97,22098.08,1.15
POSIX,8,128.0,128.0,1024.0,write,3727.26,12290.83,8689.84,22.02
POSIX,8,128.0,128.0,1024.0,read,11218.48,17502.94,15439.08,18.49
MPIIO,1,128.0,1024.0,1024.0,write,1718.06,3178.59,2994.84,3.33
MPIIO,1,128.0,1024.0,1024.0,read,3759.63,3766.41,3763.43,0.01
Z5,4,64.0,64.0,256.0,write,858.63,2035.12,1809.29,5.67
Z5,4,64.0,64.0,256.0,read,290.56,349.24,325.73,0.32
HDF5,32,32.0,128.0,4096.0,write,53.63,10229.91,7867.59,87.89
HDF5,32,32.0,128.0,4096.0,read,8867.65,21054.9,17363.92,111.47
HDF5,2,64.0,64.0,128.0,write,665.35,2060.64,1493.75,7.01
HDF5,2,64.0,64.0,128.0,read,636.0,2113.89,1647.29,8.35
MPIIO,4,32.0,64.0,256.0,write,8926.54,9935.66,9472.85,8.66
MPIIO,4,32.0,64.0,256.0,read,1995.76,4580.99,3656.77,26.51
MPIIO,32,128.0,128.0,4096.0,write,21017.05,72061.91,62057.85,109.29
MPIIO,32,128.0,128.0,4096.0,read,11784.68,40671.48,31985.0,57.96
NCMPI,16,64.0,512.0,8192.0,write,3213.77,14191.89,8704.84,52.53
NCMPI,16,64.0,512.0,8192.0,read,14175.94,35590.25,26942.24,115.25
MPIIO,8,16.0,128.0,1024.0,write,20925.65,22589.86,21772.84,33.91
MPIIO,8,16.0,128.0,1024.0,read,5799.16,10778.98,8659.13,94.03
NCMPI,1,128.0,512.0,512.0,write,1029.42,2755.06,2364.32,4.16
NCMPI,1,128.0,512.0,512.0,read,2359.07,3748.07,3520.15,3.51
Z5,8,256.0,256.0,2048.0,write,2948.01,4280.67,4013.13,1.59
Z5,8,256.0,256.0,2048.0,read,681.87,720.15,704.96,0.05
NCMPI,2,32.0,64.0,128.0,write,922.76,2391.38,1609.77,16.35
NCMPI,2,32.0,64.0,128.0,read,1251.2,4255.35,2422.28,28.53
HDF5,16,8.0,16.0,256.0,write,402.14,2232.78,1684.34,74.38
HDF5,16,8.0,16.0,256.0,read,1307.46,8368.5,6136.01,283.15
Z5,2,128.0,1024.0,2048.0,write,892.55,1104.21,1035.13,0.53
Z5,2,128.0,1024.0,2048.0,read,162.57,174.99,170.01,0.03
POSIX,1,32.0,256.0,256.0,write,1017.91,2396.24,1799.16,14.72
POSIX,1,32.0,256.0,256.0,read,4043.01,4078.48,4061.28,0.34
POSIX,2,32.0,128.0,256.0,write,1170.59,6251.54,3922.51,49.68
POSIX,2,32.0,128.0,256.0,read,3906.64,6847.93,6456.05,26.96
MPIIO,8,128.0,256.0,2048.0,write,21251.26,22177.42,21900.36,2.09
MPIIO,8,128.0,256.0,2048.0,read,5229.83,11211.38,9965.52,13.0
MPIIO,16,16.0,128.0,2048.0,write,29956.26,42794.28,38815.34,202.37
MPIIO,16,16.0,128.0,2048.0,read,6387.5,20169.5,13791.54,252.82
HDF5,64,32.0,256.0,16384.0,write,1165.42,11352.56,8127.82,87.54
HDF5,64,32.0,256.0,16384.0,read,11202.55,27134.36,18291.06,137.83
MPIIO,16,8.0,16.0,256.0,write,14312.45,20021.2,18806.13,195.39
MPIIO,16,8.0,16.0,256.0,read,3102.8,7569.88,5124.64,206.39
HDF5,4,128.0,512.0,2048.0,write,1367.29,4681.04,4015.89,7.47
HDF5,4,128.0,512.0,2048.0,read,4288.37,4944.81,4692.79,1.71
POSIX,32,16.0,64.0,2048.0,write,8224.33,23371.83,16079.56,306.96
POSIX,32,16.0,64.0,2048.0,read,11825.89,23945.94,16271.58,214.64
NCMPI,32,128.0,512.0,16384.0,write,4379.48,17519.33,11340.79,27.48
NCMPI,32,128.0,512.0,16384.0,read,40487.06,50123.9,46747.03,21.17
POSIX,1,256.0,1024.0,1024.0,write,1581.34,2898.4,2383.05,1.58
POSIX,1,256.0,1024.0,1024.0,read,3096.34,3761.93,3549.99,0.75
POSIX,8,8.0,8.0,64.0,write,220.22,1558.82,950.76,60.7
POSIX,8,8.0,8.0,64.0,read,1156.26,4714.75,3832.4,133.13
MPIIO,4,8.0,8.0,32.0,write,1582.09,3683.11,2579.57,80.65
MPIIO,4,8.0,8.0,32.0,read,486.16,1830.48,1016.51,56.0
Z5,2,32.0,64.0,128.0,write,710.65,985.34,927.05,2.82
Z5,2,32.0,64.0,128.0,read,171.19,178.71,176.74,0.07
POSIX,64,16.0,128.0,8192.0,write,8576.07,42796.69,26078.01,703.0
POSIX,64,16.0,128.0,8192.0,read,42245.32,61166.19,51752.76,363.13
MPIIO,2,64.0,64.0,128.0,write,412.39,4988.79,4383.6,20.78
MPIIO,2,64.0,64.0,128.0,read,1146.46,2414.43,1841.34,5.24
HDF5,4,32.0,64.0,256.0,write,1087.85,3181.89,2394.88,20.13
HDF5,4,32.0,64.0,256.0,read,1686.97,3920.07,3355.32,22.76
MPIIO,2,128.0,512.0,1024.0,write,7253.45,7467.99,7358.71,0.62
MPIIO,2,128.0,512.0,1024.0,read,1154.74,2968.24,2759.11,4.19
HDF5,8,16.0,128.0,1024.0,write,1440.6,6338.52,5232.07,82.79
HDF5,8,16.0,128.0,1024.0,read,3804.25,7587.77,5583.55,77.68
NCMPI,4,64.0,64.0,256.0,write,1234.01,2972.24,1832.76,8.63
NCMPI,4,64.0,64.0,256.0,read,1953.5,9408.81,5618.09,42.64
MPIIO,64,128.0,1024.0,65536.0,write,113161.63,167468.39,147830.49,122.87
MPIIO,64,128.0,1024.0,65536.0,read,73806.71,84469.82,82734.91,23.59
HDF5,16,16.0,32.0,512.0,write,693.11,3161.23,2233.21,45.01
HDF5,16,16.0,32.0,512.0,read,2949.16,8548.58,5741.7,116.76
MPIIO,64,32.0,64.0,4096.0,write,25134.32,110713.48,85346.46,745.78
MPIIO,64,32.0,64.0,4096.0,read,11933.54,63421.13,39068.09,552.57
NCMPI,2,128.0,1024.0,2048.0,write,3448.66,6096.6,5119.09,6.93
NCMPI,2,128.0,1024.0,2048.0,read,4757.5,6472.97,5850.76,3.94
HDF5,32,16.0,16.0,512.0,write,722.66,2182.53,1745.24,28.79
HDF5,32,16.0,16.0,512.0,read,4903.94,10613.09,9212.5,118.3
NCMPI,8,256.0,256.0,2048.0,write,2728.41,4391.07,3410.66,2.0
NCMPI,8,256.0,256.0,2048.0,read,6452.63,19552.63,11477.62,17.81
Z5,1,128.0,512.0,512.0,write,506.43,568.77,560.76,0.14
Z5,1,128.0,512.0,512.0,read,90.79,90.87,90.84,0.0
POSIX,2,16.0,16.0,32.0,write,185.0,1065.86,778.73,15.64
POSIX,2,16.0,16.0,32.0,read,912.01,3745.7,2853.25,48.88
NCMPI,64,256.0,512.0,32768.0,write,6167.7,8650.56,7673.88,3.07
NCMPI,64,256.0,512.0,32768.0,read,22307.31,32842.28,26847.19,11.66
Z5,16,64.0,512.0,8192.0,write,6985.04,8174.64,7847.73,5.28
Z5,16,64.0,512.0,8192.0,read,1285.5,1328.63,1302.11,0.19
Z5,64,8.0,32.0,2048.0,write,5691.73,18536.65,14217.57,512.58
Z5,64,8.0,32.0,2048.0,read,2860.4,3987.16,3453.15,39.92
POSIX,4,32.0,64.0,256.0,write,2665.81,4176.47,3476.13,14.95
POSIX,4,32.0,64.0,256.0,read,1281.02,8811.16,6286.76,78.96
NCMPI,1,128.0,1024.0,1024.0,write,1912.95,2910.26,2754.9,2.27
NCMPI,1,128.0,1024.0,1024.0,read,3745.35,3760.9,3754.81,0.03
NCMPI,1,8.0,16.0,16.0,write,258.6,735.02,500.96,18.69
NCMPI,1,8.0,16.0,16.0,read,434.04,1026.64,817.63,22.07
POSIX,8,16.0,128.0,1024.0,write,5040.95,12005.37,8954.73,131.82
POSIX,8,16.0,128.0,1024.0,read,3120.65,18768.11,11547.78,269.41
Z5,16,8.0,8.0,128.0,write,920.33,4178.96,3084.84,155.91
Z5,16,8.0,8.0,128.0,read,507.68,1321.48,956.31,24.53
MPIIO,1,32.0,256.0,256.0,write,841.56,3182.08,2893.03,21.47
MPIIO,1,32.0,256.0,256.0,read,643.15,4051.62,3283.19,35.21
NCMPI,4,32.0,128.0,512.0,write,1577.54,5377.04,3096.6,38.5
NCMPI,4,32.0,128.0,512.0,read,2058.25,11000.95,6972.86,85.17
MPIIO,2,32.0,128.0,256.0,write,6120.09,6692.3,6472.97,5.79
MPIIO,2,32.0,128.0,256.0,read,1331.9,2925.11,2560.99,14.04
Z5,2,128.0,512.0,1024.0,write,1020.92,1136.48,1072.86,0.35
Z5,2,128.0,512.0,1024.0,read,167.53,178.39,173.24,0.03
NCMPI,16,16.0,128.0,2048.0,write,1332.15,3669.96,2344.96,50.33
NCMPI,16,16.0,128.0,2048.0,read,9649.21,25123.22,20133.33,261.37
HDF5,2,16.0,16.0,32.0,write,205.6,697.02,441.47,9.7
HDF5,2,16.0,16.0,32.0,read,797.66,1634.57,1384.18,14.08
POSIX,2,256.0,1024.0,2048.0,write,2912.35,6788.01,5473.79,4.94
POSIX,2,256.0,1024.0,2048.0,read,6663.97,7204.04,7055.17,0.54
NCMPI,8,128.0,256.0,2048.0,write,1413.74,5031.48,3288.39,7.02
NCMPI,8,128.0,256.0,2048.0,read,4747.88,16240.12,10068.38,24.46
Z5,4,16.0,16.0,64.0,write,934.34,1423.67,1329.49,8.54
Z5,4,16.0,16.0,64.0,read,266.4,346.21,318.78,1.31
NCMPI,64,128.0,128.0,8192.0,write,1948.17,3935.48,3105.91,4.08
NCMPI,64,128.0,128.0,8192.0,read,9100.75,15066.78,10995.74,15.12
MPIIO,8,64.0,512.0,4096.0,write,21767.8,24055.82,23438.63,9.84
MPIIO,8,64.0,512.0,4096.0,read,6959.63,11040.33,10318.48,18.0
Z5,64,32.0,64.0,4096.0,write,9750.84,27593.94,21875.12,238.69
Z5,64,32.0,64.0,4096.0,read,3168.58,4876.2,4294.47,14.87
POSIX,2,8.0,8.0,16.0,write,272.07,603.5,497.43,11.77
POSIX,2,8.0,8.0,16.0,read,707.06,1605.54,1269.85,30.58
MPIIO,1,128.0,512.0,512.0,write,3138.58,3187.46,3163.51,0.12
MPIIO,1,128.0,512.0,512.0,read,3750.48,3760.78,3756.38,0.02
Z5,64,8.0,64.0,4096.0,write,6683.71,11604.59,8308.52,152.33
Z5,64,8.0,64.0,4096.0,read,2115.68,4580.66,3511.96,85.7
Z5,1,8.0,8.0,8.0,write,386.43,579.13,543.3,6.68
Z5,1,8.0,8.0,8.0,read,61.71,76.83,69.22,0.59
MPIIO,16,256.0,1024.0,16384.0,write,35584.57,47696.67,46115.11,13.75
MPIIO,16,256.0,1024.0,16384.0,read,21317.34,21896.51,21607.6,0.76
MPIIO,16,64.0,512.0,8192.0,write,20909.48,47739.37,43546.83,120.66
MPIIO,16,64.0,512.0,8192.0,read,14889.13,22622.9,20032.73,40.85
MPIIO,64,128.0,512.0,32768.0,write,114519.44,172940.52,145844.62,119.97
MPIIO,64,128.0,512.0,32768.0,read,46402.75,82540.4,69237.97,84.08
POSIX,8,256.0,512.0,4096.0,write,6170.87,18918.22,14058.95,15.54
POSIX,8,256.0,512.0,4096.0,read,20335.72,21653.16,21223.3,1.58
NCMPI,2,128.0,512.0,1024.0,write,3978.23,4998.11,4622.07,2.75
NCMPI,2,128.0,512.0,1024.0,read,4332.14,6452.82,5211.54,5.87
NCMPI,64,8.0,64.0,4096.0,write,789.12,1981.22,1322.86,41.27
NCMPI,64,8.0,64.0,4096.0,read,11368.77,42789.54,26603.76,984.67
POSIX,32,64.0,256.0,8192.0,write,12845.64,40220.96,31066.91,145.7
POSIX,32,64.0,256.0,8192.0,read,37996.02,84824.13,55947.94,193.79
NCMPI,16,256.0,256.0,4096.0,write,2222.92,5492.25,3548.19,3.37
NCMPI,16,256.0,256.0,4096.0,read,8627.34,17059.62,13298.4,10.18
MPIIO,2,16.0,16.0,32.0,write,2529.61,3098.74,2865.36,10.64
MPIIO,2,16.0,16.0,32.0,read,340.18,871.82,677.64,10.28
POSIX,64,64.0,512.0,32768.0,write,39651.88,100714.46,65916.72,339.48
POSIX,64,64.0,512.0,32768.0,read,91273.3,107295.88,98179.96,80.67
Z5,1,128.0,1024.0,1024.0,write,508.31,567.5,556.53,0.14
Z5,1,128.0,1024.0,1024.0,read,90.8,90.87,90.84,0.0
NCMPI,4,16.0,16.0,64.0,write,0.35,892.98,485.81,15.81
NCMPI,4,16.0,16.0,64.0,read,576.66,2258.28,1578.2,35.94
HDF5,8,64.0,512.0,4096.0,write,1297.83,8297.9,6966.42,31.84
HDF5,8,64.0,512.0,4096.0,read,7163.8,9222.06,8106.96,11.93
HDF5,1,32.0,256.0,256.0,write,1023.64,2138.05,2016.09,10.34
HDF5,1,32.0,256.0,256.0,read,565.89,631.02,620.66,0.64
POSIX,1,256.0,2048.0,2048.0,write,2459.88,2996.43,2890.5,0.6
POSIX,1,256.0,2048.0,2048.0,read,2894.2,3682.85,3541.27,0.87
POSIX,16,8.0,16.0,256.0,write,115.31,3494.57,1202.12,149.33
POSIX,16,8.0,16.0,256.0,read,3460.0,8536.93,6342.91,214.53
NCMPI,32,128.0,1024.0,32768.0,write,9756.33,25762.2,15814.94,43.79
NCMPI,32,128.0,1024.0,32768.0,read,41436.49,74926.47,58672.84,89.23
Z5,4,32.0,128.0,512.0,write,1760.95,2015.3,1950.79,2.22
Z5,4,32.0,128.0,512.0,read,330.92,346.44,340.06,0.18
MPIIO,8,256.0,256.0,2048.0,write,8867.95,22978.22,19957.56,21.12
MPIIO,8,256.0,256.0,2048.0,read,5193.26,11226.39,9897.96,7.11
HDF5,32,64.0,64.0,2048.0,write,817.87,6334.81,5133.08,24.12
HDF5,32,64.0,64.0,2048.0,read,7195.53,15722.9,11262.52,45.3
HDF5,2,32.0,128.0,256.0,write,573.35,2177.73,1571.11,17.03
HDF5,2,32.0,128.0,256.0,read,1521.19,2476.35,2172.93,10.08
NCMPI,16,8.0,8.0,128.0,write,256.45,1494.05,548.13,43.14
NCMPI,16,8.0,8.0,128.0,read,795.72,5576.96,2956.17,228.09
HDF5,16,64.0,128.0,2048.0,write,946.02,8068.07,6549.05,32.02
HDF5,16,64.0,128.0,2048.0,read,6305.04,12288.85,10106.53,25.86
HDF5,4,128.0,1024.0,4096.0,write,1440.45,5031.91,4299.43,8.28
HDF5,4,128.0,1024.0,4096.0,read,4534.81,5185.05,4993.33,1.84
POSIX,2,64.0,64.0,128.0,write,1294.94,2247.45,1634.07,4.18
POSIX,2,64.0,64.0,128.0,read,1957.53,4815.66,3336.0,15.59
MPIIO,2,128.0,1024.0,2048.0,write,7302.56,7648.77,7566.49,0.76
MPIIO,2,128.0,1024.0,2048.0,read,2177.31,2995.16,2899.33,1.89
NCMPI,64,32.0,64.0,4096.0,write,1516.09,4477.66,2785.39,24.16
NCMPI,64,32.0,64.0,4096.0,read,5482.71,25046.62,9497.63,172.35
MPIIO,32,256.0,512.0,16384.0,write,85664.86,90646.91,88653.25,7.58
MPIIO,32,256.0,512.0,16384.0,read,25202.79,40595.99,35172.15,23.64
Z5,16,16.0,128.0,2048.0,write,4767.66,6736.07,6145.35,34.36
Z5,16,16.0,128.0,2048.0,read,909.55,1263.89,1132.05,8.26
NCMPI,64,8.0,32.0,2048.0,write,517.54,1631.03,1041.88,50.31
NCMPI,64,8.0,32.0,2048.0,read,6370.26,38758.01,16848.11,1183.13
Z5,8,128.0,256.0,2048.0,write,3057.73,4201.15,3815.21,3.58
Z5,8,128.0,256.0,2048.0,read,646.44,715.64,701.28,0.16
NCMPI,2,256.0,256.0,512.0,write,2354.61,2905.44,2540.03,0.7
NCMPI,2,256.0,256.0,512.0,read,1151.77,7460.5,5791.63,7.3
HDF5,2,16.0,128.0,256.0,write,970.13,2186.46,1908.64,21.23
HDF5,2,16.0,128.0,256.0,read,1548.38,2460.85,2140.98,22.18
MPIIO,64,256.0,256.0,16384.0,write,141510.57,163546.82,154874.76,28.82
MPIIO,64,256.0,256.0,16384.0,read,26382.71,64676.47,52433.67,51.65
NCMPI,16,16.0,16.0,256.0,write,312.7,1212.19,628.08,17.49
NCMPI,16,16.0,16.0,256.0,read,831.45,7640.24,2720.81,116.51
NCMPI,32,8.0,32.0,1024.0,write,641.81,1587.37,1116.76,42.17
NCMPI,32,8.0,32.0,1024.0,read,5513.44,37004.77,17589.6,1156.74
