api,nranks,xfersize[MiB],blocksize[MiB],totalsize[MiB],operation,min[MiB/sec],max[MiB/sec],mean[MiB/sec],std[MiB/sec]
POSIX,4,8.0,32.0,128.0,read,1876.33,8166.17,5887.41,290.34
MPIIO,4,32.0,128.0,512.0,write,5802.1,11462.1,10710.88,51.32
MPIIO,4,32.0,128.0,512.0,read,2063.78,5706.03,4023.01,40.03
NCMPI,2,128.0,128.0,256.0,write,1610.64,2294.73,2025.13,1.49
NCMPI,2,128.0,128.0,256.0,read,1739.08,6890.12,5444.84,13.54
MPIIO,64,128.0,128.0,8192.0,write,101857.93,150152.68,137699.2,111.68
MPIIO,64,128.0,128.0,8192.0,read,16890.46,52144.14,39482.49,89.01
NCMPI,2,32.0,128.0,256.0,write,1221.42,3370.46,2535.53,19.05
NCMPI,2,32.0,128.0,256.0,read,2100.17,7195.36,5010.13,47.17
HDF5,16,8.0,8.0,128.0,write,301.71,1065.02,863.96,32.37
HDF5,16,8.0,8.0,128.0,read,3325.4,5477.34,4923.25,84.12
MPIIO,8,8.0,64.0,512.0,write,17270.35,19144.18,18308.38,71.31
MPIIO,8,8.0,64.0,512.0,read,6416.56,10156.92,8043.89,140.95
POSIX,4,8.0,64.0,256.0,write,1052.93,4618.9,2664.33,123.17
POSIX,4,8.0,64.0,256.0,read,1195.9,6562.94,3921.08,175.56
NCMPI,1,256.0,512.0,512.0,write,1735.23,2746.63,2530.93,1.09
NCMPI,1,256.0,512.0,512.0,read,3739.73,3746.81,3743.24,0.01
HDF5,4,16.0,16.0,64.0,write,235.46,1355.09,664.16,19.41
HDF5,4,16.0,16.0,64.0,read,923.13,2584.08,2027.31,41.28
NCMPI,8,64.0,512.0,4096.0,write,3782.67,15018.8,7935.42,47.44
NCMPI,8,64.0,512.0,4096.0,read,9888.6,20009.31,16712.04,42.12
Z5,2,16.0,16.0,32.0,write,460.31,750.68,676.26,4.84
Z5,2,16.0,16.0,32.0,read,124.73,155.45,144.48,0.59
MPIIO,8,256.0,1024.0,8192.0,write,18123.75,24820.88,24003.98,7.7
MPIIO,8,256.0,1024.0,8192.0,read,10295.28,11104.97,10829.15,0.79
POSIX,16,32.0,128.0,2048.0,write,4952.32,20971.26,16375.11,146.74
POSIX,16,32.0,128.0,2048.0,read,16894.7,34828.12,24150.17,171.63
HDF5,64,8.0,64.0,4096.0,write,903.96,6250.65,4598.84,209.13
HDF5,64,8.0,64.0,4096.0,read,9740.91,20818.07,15270.98,427.74
Z5,4,8.0,8.0,32.0,write,282.19,1006.76,794.12,26.29
Z5,4,8.0,8.0,32.0,read,230.71,296.61,266.14,2.86
Z5,4,32.0,256.0,1024.0,write,1929.89,2059.1,2027.61,1.07
Z5,4,32.0,256.0,1024.0,read,327.36,341.32,335.9,0.15
Z5,4,256.0,512.0,2048.0,write,1846.69,2229.51,2127.43,0.54
Z5,4,256.0,512.0,2048.0,read,354.32,360.05,358.2,0.01
NCMPI,32,32.0,64.0,2048.0,write,1299.73,2454.68,1754.1,10.13
NCMPI,32,32.0,64.0,2048.0,read,5391.94,14822.46,9242.33,91.37
POSIX,64,256.0,1024.0,65536.0,write,71009.74,127799.46,109865.54,85.34
POSIX,64,256.0,1024.0,65536.0,read,130348.25,143489.91,134390.25,16.1
HDF5,2,32.0,256.0,512.0,write,888.67,2576.29,2244.58,15.71
HDF5,2,32.0,256.0,512.0,read,1656.59,2546.88,2307.13,7.93
NCMPI,16,32.0,32.0,512.0,write,707.11,1375.05,1163.05,6.35
NCMPI,16,32.0,32.0,512.0,read,2106.62,11019.36,5006.09,78.66
HDF5,1,32.0,128.0,128.0,write,2050.0,2129.05,2088.62,0.66
HDF5,1,32.0,128.0,128.0,read,511.64,629.07,608.66,1.16
HDF5,2,128.0,128.0,256.0,write,811.66,2234.74,1753.97,3.28
HDF5,2,128.0,128.0,256.0,read,1439.49,2413.88,2128.78,2.41
Z5,16,128.0,128.0,2048.0,write,4808.45,8316.37,6716.13,8.79
Z5,16,128.0,128.0,2048.0,read,1252.36,1374.49,1331.16,0.35
Z5,8,16.0,32.0,256.0,write,1894.09,3132.4,2798.99,26.24
Z5,8,16.0,32.0,256.0,read,531.58,686.66,634.95,3.32
HDF5,8,256.0,2048.0,16384.0,write,1291.88,9077.26,8207.95,9.01
HDF5,8,256.0,2048.0,16384.0,read,7440.98,9798.06,9152.17,2.44
Z5,16,16.0,64.0,1024.0,write,3585.1,6956.34,5774.36,85.5
Z5,16,16.0,64.0,1024.0,read,1152.63,1339.05,1236.0,3.33
POSIX,1,64.0,64.0,64.0,write,899.07,1706.47,1406.49,3.63
POSIX,1,64.0,64.0,64.0,read,3549.62,3751.35,3724.05,0.91
MPIIO,4,128.0,128.0,512.0,write,10416.25,11281.58,10896.15,1.91
MPIIO,4,128.0,128.0,512.0,read,2156.08,5744.58,4308.38,9.05
HDF5,32,256.0,256.0,8192.0,write,1090.54,13493.82,11087.41,13.32
HDF5,32,256.0,256.0,8192.0,read,12919.82,21403.96,15641.04,10.67
HDF5,64,64.0,64.0,4096.0,write,889.59,6730.61,5616.67,25.71
HDF5,64,64.0,64.0,4096.0,read,12788.87,21170.15,17869.19,43.27
HDF5,16,128.0,1024.0,16384.0,write,1177.15,15756.55,12922.5,32.36
HDF5,16,128.0,1024.0,16384.0,read,13531.4,17799.78,16666.5,9.4
POSIX,32,64.0,512.0,16384.0,write,20618.65,45886.86,30784.8,134.18
POSIX,32,64.0,512.0,16384.0,read,68090.88,86513.85,74198.45,79.15
POSIX,8,32.0,32.0,256.0,write,932.93,4956.69,3613.59,35.48
POSIX,8,32.0,32.0,256.0,read,3309.21,10587.71,6503.77,92.58
NCMPI,4,8.0,16.0,64.0,write,188.46,631.02,401.11,15.96
NCMPI,4,8.0,16.0,64.0,read,1702.44,5331.1,3647.98,165.86
HDF5,8,64.0,256.0,2048.0,write,1116.7,7070.31,5063.28,27.97
HDF5,8,64.0,256.0,2048.0,read,5197.2,8348.83,7095.09,13.39
POSIX,32,128.0,256.0,8192.0,write,16600.98,47022.5,37934.24,61.94
POSIX,32,128.0,256.0,8192.0,read,50549.34,82983.2,60132.35,69.38
MPIIO,1,16.0,16.0,16.0,write,2839.45,3360.11,2958.42,10.43
MPIIO,1,16.0,16.0,16.0,read,430.73,1030.97,747.37,11.93
HDF5,1,256.0,512.0,512.0,write,1847.11,2155.44,2097.83,0.41
HDF5,1,256.0,512.0,512.0,read,71.99,73.88,73.55,0.0
NCMPI,32,8.0,8.0,256.0,write,166.58,429.85,273.91,8.45
NCMPI,32,8.0,8.0,256.0,read,1934.26,19732.83,9879.18,855.89
POSIX,64,64.0,256.0,16384.0,write,27218.77,68890.74,48375.9,203.01
POSIX,64,64.0,256.0,16384.0,read,70634.17,90685.16,82255.62,94.6
Z5,32,256.0,2048.0,65536.0,write,15729.46,17072.0,16762.8,1.45
Z5,32,256.0,2048.0,65536.0,read,2644.45,2763.67,2702.26,0.14
POSIX,32,8.0,16.0,512.0,write,3663.59,8641.43,6400.59,168.4
POSIX,32,8.0,16.0,512.0,read,2806.42,6140.17,4466.02,114.27
POSIX,4,128.0,256.0,1024.0,write,4109.05,9170.3,7489.33,10.23
POSIX,4,128.0,256.0,1024.0,read,6373.41,11811.47,9368.3,14.17
NCMPI,8,8.0,32.0,256.0,write,574.57,3766.76,1278.23,116.11
NCMPI,8,8.0,32.0,256.0,read,4227.76,12440.31,8702.7,366.87
MPIIO,8,64.0,256.0,2048.0,write,21995.79,22868.41,22517.62,4.71
MPIIO,8,64.0,256.0,2048.0,read,8365.55,11262.05,10355.32,14.67
HDF5,1,16.0,16.0,16.0,write,291.34,602.56,445.05,6.13
HDF5,1,16.0,16.0,16.0,read,551.52,1353.93,1024.81,20.7
NCMPI,16,16.0,64.0,1024.0,write,834.09,2790.51,1698.45,37.4
NCMPI,16,16.0,64.0,1024.0,read,4460.37,16586.93,11307.6,228.04
Z5,32,8.0,8.0,256.0,write,537.17,1575.75,1374.8,36.39
Z5,32,8.0,8.0,256.0,read,1660.31,2544.66,2146.22,32.96
MPIIO,16,64.0,256.0,4096.0,write,40902.55,45705.55,43360.29,25.41
MPIIO,16,64.0,256.0,4096.0,read,11721.51,22391.76,19534.79,58.7
Z5,16,32.0,32.0,512.0,write,3577.11,6948.74,5824.84,44.22
Z5,16,32.0,32.0,512.0,read,822.46,1297.39,1134.27,4.7
HDF5,2,8.0,8.0,16.0,write,121.35,315.96,194.27,9.08
HDF5,2,8.0,8.0,16.0,read,511.31,1284.57,1072.21,29.09
NCMPI,4,256.0,512.0,2048.0,write,3079.82,4916.91,4112.15,2.37
NCMPI,4,256.0,512.0,2048.0,read,3749.08,10550.51,6975.09,7.51
Z5,32,32.0,64.0,2048.0,write,6578.83,8031.37,7390.67,13.16
Z5,32,32.0,64.0,2048.0,read,2524.52,2719.16,2596.94,2.02
POSIX,8,16.0,64.0,512.0,write,4721.87,8040.01,6759.0,66.51
POSIX,8,16.0,64.0,512.0,read,7835.32,18102.03,12047.85,219.45
NCMPI,8,16.0,32.0,256.0,write,507.85,1688.81,870.4,24.64
NCMPI,8,16.0,32.0,256.0,read,2951.51,12225.9,5678.49,173.36
Z5,64,256.0,256.0,16384.0,write,12714.21,26878.97,18917.87,14.99
Z5,64,256.0,256.0,16384.0,read,4600.93,5583.36,5253.28,1.05
NCMPI,8,8.0,64.0,512.0,write,675.21,3825.3,1467.27,107.57
NCMPI,8,8.0,64.0,512.0,read,6026.43,18784.12,10698.45,588.65
MPIIO,2,32.0,256.0,512.0,write,2296.42,7221.82,6613.05,45.06
MPIIO,2,32.0,256.0,512.0,read,1258.03,2948.66,2716.73,15.61
POSIX,16,128.0,512.0,8192.0,write,902.17,31855.74,8960.01,66.43
POSIX,16,128.0,512.0,8192.0,read,28509.95,45726.11,40992.22,40.39
MPIIO,1,32.0,128.0,128.0,write,3153.76,3234.74,3177.75,0.89
MPIIO,1,32.0,128.0,128.0,read,1796.07,3661.47,2669.42,21.58
NCMPI,4,32.0,256.0,1024.0,write,1866.62,8576.59,3685.38,61.32
NCMPI,4,32.0,256.0,1024.0,read,5194.36,11017.97,7659.88,52.72
POSIX,32,64.0,64.0,2048.0,write,8013.23,20829.1,17141.45,54.94
POSIX,32,64.0,64.0,2048.0,read,13675.9,43630.43,25705.21,119.38
POSIX,2,8.0,32.0,64.0,write,288.07,2350.79,1546.7,72.56
POSIX,2,8.0,32.0,64.0,read,881.52,5161.01,4158.41,157.35
Z5,32,256.0,512.0,16384.0,write,14088.36,15678.95,15014.73,1.51
Z5,32,256.0,512.0,16384.0,read,2757.67,2825.11,2785.41,0.07
